GEOID,ACS_MFRENTALS,ACS_Owners,ACS_SF_Rents,LUPAMS,HCIDLA,LUPAMS_RC,HCIDLA_RC
6037192420,1093,191,89,1074,1078,0,NA
6037192510,739,183,221,944,953,0,NA
6037192520,1322,112,120,1456,1484,0,NA
6037192610,1319,95,57,1348,1357,0,NA
6037192620,1070,57,54,1261,1269,0,NA
6037192700,829,127,155,968,976,0,NA
6037194101,1051,520,97,1083,1066,0,NA
6037194102,288,1159,150,187,189,0,NA
6037194200,87,1200,464,105,104,0,NA
6037194300,95,1149,278,92,94,0,NA
6037194401,974,204,102,995,986,0,NA
6037194402,1326,564,131,1610,1610,0,NA
6037194500,358,486,110,467,538,0,NA
6037195100,461,1253,309,649,645,0,NA
6037195201,1047,320,165,1321,1321,0,NA
6037195202,339,799,296,565,561,0,NA
6037195300,922,321,302,1283,1266,0,NA
6037195400,1019,782,408,1324,1319,0,NA
6037195500,653,953,587,1281,1268,0,NA
6037195600,628,343,277,798,809,0,NA
6037195710,999,160,153,1072,1066,0,NA
6037195720,600,132,142,671,695,0,NA
6037195802,558,105,255,706,705,0,NA
6037195803,642,382,142,938,923,0,NA
6037195804,567,190,263,916,917,0,NA
6037195901,753,156,175,961,941,0,NA
6037195902,633,227,145,791,784,0,NA
6037195903,575,105,243,1101,799,0,NA
6037197200,164,593,443,485,482,0,NA
6037197300,849,464,429,1232,1245,0,NA
6037197410,417,750,510,701,698,0,NA
6037197420,614,427,274,862,857,0,NA
6037197500,1016,295,279,1211,1216,0,NA
6037197600,634,254,89,753,756,0,NA
6037197700,1269,308,222,1429,1444,0,NA
6037199000,805,470,312,638,647,0,NA
6037199110,87,379,257,248,242,0,NA
6037199120,605,243,233,667,659,0,NA
6037199201,820,177,217,957,957,0,NA
6037199202,174,374,293,424,413,0,NA
6037199300,191,682,324,372,371,0,NA
6037199400,469,476,299,890,911,0,NA
6037199700,508,195,371,598,614,0,NA
6037199800,531,407,567,1052,1053,0,NA
6037199900,347,148,277,563,560,0,NA
6037201110,114,462,172,180,191,0,NA
6037201120,574,428,328,664,664,0,NA
6037201200,269,203,250,419,418,0,NA
6037201301,242,467,337,316,315,0,NA
6037201302,622,1161,68,124,127,0,NA
6037201401,513,579,255,575,590,0,NA
6037201402,228,968,191,331,334,0,NA
6037201501,400,686,454,631,632,0,NA
6037201503,303,220,362,573,572,0,NA
6037201504,78,316,178,253,252,0,NA
6037201601,99,398,129,193,190,0,NA
6037201602,61,510,208,206,205,0,NA
6037201700,394,597,355,468,468,0,NA
6037203100,804,215,203,522,527,0,NA
6037203200,482,410,400,783,782,0,NA
6037203300,277,67,122,310,315,0,NA
6037203500,452,167,332,665,679,0,NA
6037203600,545,324,457,938,959,0,NA
6037203710,333,216,305,625,616,0,NA
6037203720,407,144,460,826,811,0,NA
6037203800,299,435,377,669,640,0,NA
6037203900,114,315,258,357,361,0,NA
6037204110,163,290,329,537,532,0,NA
6037204120,134,224,339,400,406,0,NA
6037204200,382,115,380,802,795,0,NA
6037204300,499,248,499,951,951,0,NA
6037204410,243,58,312,509,512,0,NA
6037204420,636,73,191,637,654,0,NA
6037204600,447,254,372,748,745,0,NA
6037204700,261,480,482,621,618,0,NA
6037204810,285,300,564,715,692,0,NA
6037204820,61,301,161,238,244,0,NA
6037204910,132,239,407,583,581,0,NA
6037204920,29,295,289,267,266,0,NA
6037205110,786,0,33,899,899,0,NA
6037205120,695,108,118,407,405,0,NA
6037206010,833,119,89,436,429,0,NA
6037206020,219,3,10,1,107,0,NA
6037206031,1150,589,23,210,194,0,NA
6037206032,1133,217,245,568,576,0,NA
6037206050,692,38,35,252,253,0,NA
6037206200,1582,360,7,378,377,0,NA
6037206300,2350,8,66,282,282,0,NA
6037207101,1375,74,39,1425,1425,0,NA
6037207102,889,19,38,894,903,0,NA
6037207103,694,58,64,729,737,0,NA
6037207301,2903,462,52,506,505,0,NA
6037207302,2788,213,0,1660,1660,0,NA
6037207400,28,0,7,0,0,0,NA
6037207501,1112,273,0,1062,1067,0,NA
6037207502,1847,0,17,1847,1835,0,NA
6037207710,1868,285,0,1117,1117,0,NA
6037207900,1749,613,42,1561,1568,0,NA
6037208000,1972,119,249,1625,1638,0,NA
6037208301,437,46,56,490,484,0,NA
6037208302,1215,107,112,1316,1336,0,NA
6037208401,1342,49,67,1248,1221,0,NA
6037208402,518,118,185,645,683,0,NA
6037208501,635,110,79,659,647,0,NA
6037208502,1031,61,134,1134,1148,0,NA
6037208610,983,231,142,1246,1249,0,NA
6037208620,1457,116,72,1439,1434,0,NA
6037208710,1709,185,10,1604,1615,0,NA
6037208720,1386,23,79,1414,1429,0,NA
6037208801,1212,0,7,1033,1039,0,NA
6037208802,1252,51,48,1237,1245,0,NA
6037208902,619,0,7,488,516,0,NA
6037208903,1139,9,20,913,893,0,NA
6037208904,1122,10,57,885,898,0,NA
6037209102,1740,70,36,1831,1705,0,NA
6037209103,976,0,54,992,992,0,NA
6037209104,867,0,27,702,702,0,NA
6037209200,1373,113,27,1064,1070,0,NA
6037209300,1737,38,80,1586,1585,0,NA
6037209401,1331,16,90,996,996,0,NA
6037209402,1139,8,31,763,788,0,NA
6037209403,1332,0,16,819,869,0,NA
6037209510,890,34,9,907,904,0,NA
6037209520,864,21,24,787,814,0,NA
6037209810,650,24,22,651,715,0,NA
6037209820,605,70,125,714,750,0,NA
6037210010,961,162,126,885,888,0,NA
6037211000,334,1204,141,280,274,0,NA
6037211120,2276,166,0,1883,1923,0,NA
6037211121,816,51,45,936,936,0,NA
6037211122,1156,29,73,1310,1302,0,NA
6037211201,898,22,24,906,905,0,NA
6037211202,865,56,26,875,876,0,NA
6037211310,1192,61,45,1286,1297,0,NA
6037211320,1095,26,55,1284,1288,0,NA
6037211410,953,86,112,1029,1022,0,NA
6037211420,939,236,144,964,965,0,NA
6037211500,1082,602,124,1081,1089,0,NA
6037211701,762,342,28,743,727,0,NA
6037211703,1757,243,37,1778,1782,0,NA
6037211704,1470,130,6,1454,1383,0,NA
6037211802,1958,216,0,1939,1937,0,NA
6037211803,1576,48,0,1575,1578,0,NA
6037211804,1203,96,26,1306,1314,0,NA
6037211910,1587,46,7,1631,1647,0,NA
6037211921,978,25,0,1069,1065,0,NA
6037211922,1321,22,0,1368,1375,0,NA
6037212101,1149,134,0,1040,1039,0,NA
6037212102,1191,24,0,1292,1296,0,NA
6037212202,1159,23,0,1147,1174,0,NA
6037212203,1160,13,17,1486,1484,0,NA
6037212204,1180,38,30,1176,1178,0,NA
6037212303,1237,0,0,1163,1286,0,NA
6037212304,811,5,6,875,886,0,NA
6037212305,979,38,32,921,916,0,NA
6037212306,1052,52,59,1143,1147,0,NA
6037212410,1569,60,18,1566,1563,0,NA
6037212420,1148,59,21,1122,1127,0,NA
6037212501,952,33,6,893,905,0,NA
6037212502,1184,65,26,1135,1108,0,NA
6037212610,1467,325,18,1331,1334,0,NA
6037212620,1711,98,55,1655,1661,0,NA
6037212701,370,325,79,465,466,0,NA
6037212702,678,699,84,652,674,0,NA
